"team_number","hero_1","hero_2","hero_3","hero_4","hero_5","hero_6","enhancement_details"
"1","Adam Warlock","Angela","Black Panther","Star-Lord","Storm","Thor","Adam Warlock <- Storm; Angela <- Star-Lord; Black Panther <- Storm; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela"
"242","Cloak & Dagger","Gambit","Jubilee","Phoenix","Rogue","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Phoenix <- Rogue; Rogue <- Gambit; The Hood <- Jubilee"
"243","Cloak & Dagger","Gambit","Jubilee","Psylocke","Rogue","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; Rogue <- Gambit; The Hood <- Jubilee"
"244","Cloak & Dagger","Gambit","Jubilee","Psylocke","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"245","Cloak & Dagger","Gambit","Jubilee","Psylocke","The Hood","White Fox","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Jubilee; White Fox <- Psylocke"
"246","Cloak & Dagger","Gambit","Jubilee","Psylocke","The Hood","Wolverine","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Jubilee; Wolverine <- Gambit"
"247","Cloak & Dagger","Gambit","Jubilee","Rogue","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"248","Cloak & Dagger","Gambit","Jubilee","Rogue","The Hood","Wolverine","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee; Wolverine <- Gambit"
"249","Cloak & Dagger","Gambit","Jubilee","Scarlet Witch","The Hood","Wolverine","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee; Wolverine <- Gambit"
"250","Cloak & Dagger","Groot","Jubilee","Mantis","Star-Lord","The Hood","Cloak & Dagger <- The Hood; Groot <- Mantis; Jubilee <- The Hood; Mantis <- Star-Lord; Star-Lord <- Groot; The Hood <- Jubilee"
"251","Cloak & Dagger","Groot","Magik","Mantis","Star-Lord","The Hood","Cloak & Dagger <- The Hood; Groot <- Mantis; Magik <- The Hood; Mantis <- Star-Lord; Star-Lord <- Groot; The Hood <- Magik"
"252","Cloak & Dagger","Hawkeye","Human Torch","Invisible Woman","Jubilee","The Hood","Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; The Hood <- Jubilee"
"253","Cloak & Dagger","Hawkeye","Human Torch","Jubilee","Magik","The Hood","Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"254","Cloak & Dagger","Hawkeye","Human Torch","Jubilee","Moon Knight","The Hood","Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Human Torch <- Jubilee; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Jubilee"
"255","Cloak & Dagger","Hawkeye","Human Torch","Jubilee","Psylocke","The Hood","Cloak & Dagger <- The Hood; Hawkeye <- Psylocke, Cloak & Dagger; Human Torch <- Jubilee; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Jubilee"
"256","Cloak & Dagger","Hawkeye","Human Torch","Jubilee","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Human Torch <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"257","Cloak & Dagger","Hawkeye","Human Torch","Jubilee","The Hood","The Thing","Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee; The Thing <- Human Torch"
"258","Cloak & Dagger","Hawkeye","Iron Fist","Luna Snow","Psylocke","White Fox","Cloak & Dagger <- Luna Snow; Hawkeye <- Psylocke, Cloak & Dagger; Iron Fist <- White Fox; Luna Snow <- White Fox; Psylocke <- Cloak & Dagger; White Fox <- Psylocke"
"259","Cloak & Dagger","Hawkeye","Jubilee","Magik","Moon Knight","The Hood","Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; Magik <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Magik, Jubilee"
"260","Cloak & Dagger","Hawkeye","Jubilee","Magik","Psylocke","The Hood","Cloak & Dagger <- The Hood; Hawkeye <- Psylocke, Cloak & Dagger; Jubilee <- The Hood; Magik <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Magik, Jubilee"
"261","Cloak & Dagger","Hawkeye","Jubilee","Magik","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; Magik <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"262","Cloak & Dagger","Hawkeye","Jubilee","Magneto","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"263","Cloak & Dagger","Hawkeye","Jubilee","Moon Knight","Psylocke","The Hood","Cloak & Dagger <- The Hood; Hawkeye <- Psylocke, Cloak & Dagger; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; Psylocke <- Cloak & Dagger; The Hood <- Jubilee"
"264","Cloak & Dagger","Hawkeye","Jubilee","Moon Knight","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"265","Cloak & Dagger","Hawkeye","Jubilee","Psylocke","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Hawkeye <- Psylocke, Cloak & Dagger; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"266","Cloak & Dagger","Hawkeye","Jubilee","Psylocke","The Hood","White Fox","Cloak & Dagger <- The Hood; Hawkeye <- Psylocke, Cloak & Dagger; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Jubilee; White Fox <- Psylocke"
"267","Cloak & Dagger","Hawkeye","Luna Snow","Moon Knight","Psylocke","White Fox","Cloak & Dagger <- Luna Snow; Hawkeye <- Psylocke, Cloak & Dagger; Luna Snow <- White Fox; Moon Knight <- Cloak & Dagger; Psylocke <- Cloak & Dagger; White Fox <- Psylocke"
"268","Cloak & Dagger","Hawkeye","Luna Snow","Namor","Psylocke","White Fox","Cloak & Dagger <- Luna Snow; Hawkeye <- Psylocke, Cloak & Dagger; Luna Snow <- White Fox; Namor <- Luna Snow; Psylocke <- Cloak & Dagger; White Fox <- Psylocke"
"269","Cloak & Dagger","Hawkeye","Magik","Moon Knight","Psylocke","The Hood","Cloak & Dagger <- The Hood; Hawkeye <- Psylocke, Cloak & Dagger; Magik <- The Hood; Moon Knight <- Cloak & Dagger; Psylocke <- Cloak & Dagger; The Hood <- Magik"
"270","Cloak & Dagger","Hawkeye","Magik","Psylocke","The Hood","White Fox","Cloak & Dagger <- The Hood; Hawkeye <- Psylocke, Cloak & Dagger; Magik <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Magik; White Fox <- Psylocke"
"271","Cloak & Dagger","Hela","Jubilee","Phoenix","The Hood","Venom","Cloak & Dagger <- The Hood; Hela <- Venom; Jubilee <- The Hood; Phoenix <- Hela; The Hood <- Jubilee; Venom <- Phoenix"
"272","Cloak & Dagger","Hela","Luna Snow","Namor","Psylocke","White Fox","Cloak & Dagger <- Luna Snow; Hela <- Namor; Luna Snow <- White Fox; Namor <- Luna Snow; Psylocke <- Cloak & Dagger; White Fox <- Psylocke"
"273","Cloak & Dagger","Hela","Magik","Phoenix","The Hood","Venom","Cloak & Dagger <- The Hood; Hela <- Venom; Magik <- The Hood; Phoenix <- Hela; The Hood <- Magik; Venom <- Phoenix"
"274","Cloak & Dagger","Human Torch","Invisible Woman","Jubilee","Magik","The Hood","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"275","Cloak & Dagger","Human Torch","Invisible Woman","Jubilee","Moon Knight","The Hood","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Jubilee"
"276","Cloak & Dagger","Human Torch","Invisible Woman","Jubilee","Psylocke","The Hood","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Jubilee"
"277","Cloak & Dagger","Human Torch","Invisible Woman","Jubilee","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"278","Cloak & Dagger","Human Torch","Invisible Woman","Jubilee","The Hood","The Thing","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; The Hood <- Jubilee; The Thing <- Human Torch, Invisible Woman"
"279","Cloak & Dagger","Human Torch","Iron Fist","Jubilee","The Hood","The Thing","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Iron Fist <- The Thing; Jubilee <- The Hood; The Hood <- Jubilee; The Thing <- Human Torch"
"280","Cloak & Dagger","Human Torch","Jubilee","Magik","Moon Knight","The Hood","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Magik, Jubilee"
"281","Cloak & Dagger","Human Torch","Jubilee","Magik","Psylocke","The Hood","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Magik, Jubilee"
"282","Cloak & Dagger","Human Torch","Jubilee","Magik","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"283","Cloak & Dagger","Human Torch","Jubilee","Magik","The Hood","The Thing","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee; The Thing <- Human Torch"
"284","Cloak & Dagger","Human Torch","Jubilee","Magneto","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"285","Cloak & Dagger","Human Torch","Jubilee","Mister Fantastic","The Hood","The Thing","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Mister Fantastic <- The Thing; The Hood <- Jubilee; The Thing <- Human Torch"
"286","Cloak & Dagger","Human Torch","Jubilee","Moon Knight","Psylocke","The Hood","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; Psylocke <- Cloak & Dagger; The Hood <- Jubilee"
"287","Cloak & Dagger","Human Torch","Jubilee","Moon Knight","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"288","Cloak & Dagger","Human Torch","Jubilee","Moon Knight","The Hood","The Thing","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Jubilee; The Thing <- Human Torch"
"289","Cloak & Dagger","Human Torch","Jubilee","Psylocke","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"290","Cloak & Dagger","Human Torch","Jubilee","Psylocke","The Hood","The Thing","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Jubilee; The Thing <- Human Torch"
"291","Cloak & Dagger","Human Torch","Jubilee","Psylocke","The Hood","White Fox","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Jubilee; White Fox <- Psylocke"
"292","Cloak & Dagger","Human Torch","Jubilee","Scarlet Witch","The Hood","The Thing","Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee; The Thing <- Human Torch"
"293","Cloak & Dagger","Invisible Woman","Jubilee","Mister Fantastic","The Hood","The Thing","Cloak & Dagger <- The Hood; Invisible Woman <- Mister Fantastic; Jubilee <- The Hood; Mister Fantastic <- The Thing; The Hood <- Jubilee; The Thing <- Invisible Woman"
"294","Cloak & Dagger","Invisible Woman","Magik","Mister Fantastic","The Hood","The Thing","Cloak & Dagger <- The Hood; Invisible Woman <- Mister Fantastic; Magik <- The Hood; Mister Fantastic <- The Thing; The Hood <- Magik; The Thing <- Invisible Woman"
"295","Cloak & Dagger","Iron Fist","Jubilee","Psylocke","The Hood","White Fox","Cloak & Dagger <- The Hood; Iron Fist <- White Fox; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Jubilee; White Fox <- Psylocke"
"296","Cloak & Dagger","Iron Fist","Luna Snow","Moon Knight","Psylocke","White Fox","Cloak & Dagger <- Luna Snow; Iron Fist <- White Fox; Luna Snow <- White Fox; Moon Knight <- Cloak & Dagger; Psylocke <- Cloak & Dagger; White Fox <- Psylocke"
"297","Cloak & Dagger","Iron Fist","Luna Snow","Namor","Psylocke","White Fox","Cloak & Dagger <- Luna Snow; Iron Fist <- White Fox; Luna Snow <- White Fox; Namor <- Luna Snow; Psylocke <- Cloak & Dagger; White Fox <- Psylocke"
"298","Cloak & Dagger","Iron Fist","Magik","Psylocke","The Hood","White Fox","Cloak & Dagger <- The Hood; Iron Fist <- White Fox; Magik <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Magik; White Fox <- Psylocke"
"299","Cloak & Dagger","Jubilee","Luna Snow","Psylocke","The Hood","White Fox","Cloak & Dagger <- Luna Snow, The Hood; Jubilee <- The Hood; Luna Snow <- White Fox; Psylocke <- Cloak & Dagger; The Hood <- Jubilee; White Fox <- Psylocke"
"300","Cloak & Dagger","Jubilee","Magik","Magneto","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magik <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"301","Cloak & Dagger","Jubilee","Magik","Moon Knight","Psylocke","The Hood","Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magik <- The Hood; Moon Knight <- Cloak & Dagger; Psylocke <- Cloak & Dagger; The Hood <- Magik, Jubilee"
"302","Cloak & Dagger","Jubilee","Magik","Moon Knight","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magik <- The Hood; Moon Knight <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"303","Cloak & Dagger","Jubilee","Magik","Psylocke","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magik <- The Hood; Psylocke <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"304","Cloak & Dagger","Jubilee","Magik","Psylocke","The Hood","White Fox","Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magik <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Magik, Jubilee; White Fox <- Psylocke"
"305","Cloak & Dagger","Jubilee","Magneto","Moon Knight","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magneto <- Scarlet Witch; Moon Knight <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"306","Cloak & Dagger","Jubilee","Magneto","Psylocke","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magneto <- Scarlet Witch; Psylocke <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"307","Cloak & Dagger","Jubilee","Magneto","Rogue","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Jubilee <- The Hood; Magneto <- Scarlet Witch; Rogue <- Magneto; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"308","Cloak & Dagger","Jubilee","Moon Knight","Psylocke","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; Psylocke <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"309","Cloak & Dagger","Jubilee","Moon Knight","Psylocke","The Hood","White Fox","Cloak & Dagger <- The Hood; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; Psylocke <- Cloak & Dagger; The Hood <- Jubilee; White Fox <- Psylocke"
"310","Cloak & Dagger","Jubilee","Psylocke","Scarlet Witch","The Hood","White Fox","Cloak & Dagger <- The Hood; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Jubilee; White Fox <- Psylocke"
"311","Cloak & Dagger","Luna Snow","Magik","Psylocke","The Hood","White Fox","Cloak & Dagger <- Luna Snow, The Hood; Luna Snow <- White Fox; Magik <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Magik; White Fox <- Psylocke"
"312","Cloak & Dagger","Luna Snow","Moon Knight","Namor","Psylocke","White Fox","Cloak & Dagger <- Luna Snow; Luna Snow <- White Fox; Moon Knight <- Cloak & Dagger; Namor <- Luna Snow; Psylocke <- Cloak & Dagger; White Fox <- Psylocke"
"313","Cloak & Dagger","Magik","Moon Knight","Psylocke","The Hood","White Fox","Cloak & Dagger <- The Hood; Magik <- The Hood; Moon Knight <- Cloak & Dagger; Psylocke <- Cloak & Dagger; The Hood <- Magik; White Fox <- Psylocke"
"314","Cyclops","Deadpool","Elsa Bloodstone","Gambit","Jubilee","The Hood","Cyclops <- Gambit; Deadpool <- Gambit; Elsa Bloodstone <- Deadpool; Gambit <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee"
"315","Cyclops","Deadpool","Elsa Bloodstone","Hela","Phoenix","Venom","Cyclops <- Phoenix; Deadpool <- Hela; Elsa Bloodstone <- Deadpool; Hela <- Venom; Phoenix <- Hela; Venom <- Phoenix"
"316","Cyclops","Deadpool","Gambit","Human Torch","Jubilee","The Hood","Cyclops <- Gambit; Deadpool <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee"
"317","Cyclops","Deadpool","Gambit","Jeff the Land Shark","Jubilee","The Hood","Cyclops <- Gambit; Deadpool <- Gambit; Gambit <- Jubilee; Jeff the Land Shark <- Deadpool; Jubilee <- The Hood; The Hood <- Jubilee"
"318","Cyclops","Deadpool","Gambit","Jubilee","Magik","The Hood","Cyclops <- Gambit; Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"319","Cyclops","Deadpool","Gambit","Jubilee","Rogue","The Hood","Cyclops <- Gambit; Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee"
"320","Cyclops","Deadpool","Gambit","Jubilee","Scarlet Witch","The Hood","Cyclops <- Gambit; Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"321","Cyclops","Deadpool","Gambit","Jubilee","The Hood","Wolverine","Cyclops <- Gambit; Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Cyclops, Gambit"
"322","Cyclops","Deadpool","Hela","Jeff the Land Shark","Phoenix","Venom","Cyclops <- Phoenix; Deadpool <- Hela; Hela <- Venom; Jeff the Land Shark <- Venom, Deadpool; Phoenix <- Hela; Venom <- Phoenix"
"323","Cyclops","Deadpool","Hela","Loki","Phoenix","Venom","Cyclops <- Phoenix; Deadpool <- Hela; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"324","Cyclops","Deadpool","Hela","Phoenix","Spider-Man","Venom","Cyclops <- Phoenix; Deadpool <- Hela; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"325","Cyclops","Deadpool","Hela","Phoenix","Thor","Venom","Cyclops <- Phoenix; Deadpool <- Hela; Hela <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"326","Cyclops","Deadpool","Hela","Phoenix","Venom","Wolverine","Cyclops <- Phoenix; Deadpool <- Hela; Hela <- Venom; Phoenix <- Hela; Venom <- Phoenix; Wolverine <- Cyclops"
"327","Cyclops","Devil Dinosaur","Hela","Jeff the Land Shark","Phoenix","Venom","Cyclops <- Phoenix; Devil Dinosaur <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Venom <- Phoenix"
"328","Cyclops","Gambit","Hulk","Jubilee","The Hood","Wolverine","Cyclops <- Gambit; Gambit <- Jubilee; Hulk <- Wolverine; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Cyclops, Gambit"
"329","Cyclops","Gambit","Human Torch","Invisible Woman","Jubilee","The Hood","Cyclops <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; The Hood <- Jubilee"
"330","Cyclops","Gambit","Human Torch","Jubilee","Magik","The Hood","Cyclops <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"331","Cyclops","Gambit","Human Torch","Jubilee","Rogue","The Hood","Cyclops <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee"
"332","Cyclops","Gambit","Human Torch","Jubilee","Scarlet Witch","The Hood","Cyclops <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"333","Cyclops","Gambit","Human Torch","Jubilee","The Hood","The Thing","Cyclops <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee; The Thing <- Human Torch"
"334","Cyclops","Gambit","Human Torch","Jubilee","The Hood","Wolverine","Cyclops <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Cyclops, Gambit"
"335","Cyclops","Gambit","Jubilee","Magik","Rogue","The Hood","Cyclops <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Rogue <- Gambit; The Hood <- Magik, Jubilee"
"336","Cyclops","Gambit","Jubilee","Magik","Scarlet Witch","The Hood","Cyclops <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"337","Cyclops","Gambit","Jubilee","Magik","The Hood","Wolverine","Cyclops <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee; Wolverine <- Cyclops, Gambit"
"338","Cyclops","Gambit","Jubilee","Magneto","Scarlet Witch","The Hood","Cyclops <- Gambit; Gambit <- Jubilee, Magneto; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"339","Cyclops","Gambit","Jubilee","Phoenix","Rogue","The Hood","Cyclops <- Phoenix, Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Phoenix <- Rogue; Rogue <- Gambit; The Hood <- Jubilee"
"340","Cyclops","Gambit","Jubilee","Rogue","Scarlet Witch","The Hood","Cyclops <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"341","Cyclops","Gambit","Jubilee","Rogue","The Hood","Wolverine","Cyclops <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee; Wolverine <- Cyclops, Gambit"
"342","Cyclops","Gambit","Jubilee","Scarlet Witch","The Hood","Wolverine","Cyclops <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee; Wolverine <- Cyclops, Gambit"
"343","Cyclops","Groot","Hela","Jeff the Land Shark","Phoenix","Venom","Cyclops <- Phoenix; Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Venom <- Phoenix"
"344","Cyclops","Hela","Hulk","Namor","Phoenix","Wolverine","Cyclops <- Phoenix; Hela <- Namor; Hulk <- Wolverine; Namor <- Hulk; Phoenix <- Hela; Wolverine <- Cyclops"
"345","Cyclops","Hela","Hulk","Phoenix","Venom","Wolverine","Cyclops <- Phoenix; Hela <- Venom; Hulk <- Wolverine; Phoenix <- Hela; Venom <- Phoenix; Wolverine <- Cyclops"
"346","Cyclops","Hela","Iron Man","Phoenix","Thor","Venom","Cyclops <- Phoenix; Hela <- Venom; Iron Man <- Thor; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"347","Cyclops","Hela","Jeff the Land Shark","Loki","Phoenix","Venom","Cyclops <- Phoenix; Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"348","Cyclops","Hela","Jeff the Land Shark","Phoenix","Spider-Man","Venom","Cyclops <- Phoenix; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"349","Cyclops","Hela","Jeff the Land Shark","Phoenix","Storm","Venom","Cyclops <- Phoenix; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Storm <- Jeff the Land Shark; Venom <- Phoenix"
"350","Cyclops","Hela","Jeff the Land Shark","Phoenix","Thor","Venom","Cyclops <- Phoenix; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"351","Cyclops","Hela","Jeff the Land Shark","Phoenix","Venom","Wolverine","Cyclops <- Phoenix; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Venom <- Phoenix; Wolverine <- Cyclops"
"352","Cyclops","Hela","Jubilee","Phoenix","The Hood","Venom","Cyclops <- Phoenix; Hela <- Venom; Jubilee <- The Hood; Phoenix <- Hela; The Hood <- Jubilee; Venom <- Phoenix"
"353","Cyclops","Hela","Loki","Phoenix","Spider-Man","Venom","Cyclops <- Phoenix; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"354","Cyclops","Hela","Loki","Phoenix","Thor","Venom","Cyclops <- Phoenix; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
